Weather Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,
Midwest Severe Weather (June 2017a),Severe Storm,SevStorm/Flood,6/12/2017,2017,6,12,6/16/2017,2017,6,16,1886.5,0,3,1,1,6/14/2017,165,6,2017,24,6,3,Summer
Midwest Severe Weather (June 2017b),Severe Storm,SevStorm/Flood,6/27/2017,2017,6,27,6/29/2017,2017,6,29,1781.3,0,1,1,1,6/28/2017,179,6,2017,26,6,3,Summer
Hurricane Harvey (August 2017),Tropical Cyclone,Tropical Cyclone,8/25/2017,2017,8,25,8/31/2017,2017,8,31,155000,89,5,1,1,8/28/2017,240,8,2017,35,8,3,Summer
Hurricane Irma (September 2017),Tropical Cyclone,Tropical Cyclone,9/6/2017,2017,9,6,9/12/2017,2017,9,12,62000,97,5,1,1,9/9/2017,252,9,2017,36,9,4,Fall
Hurricane Maria (September 2017),Tropical Cyclone,Tropical Cyclone,9/19/2017,2017,9,19,9/21/2017,2017,9,21,111600,2981,1,1,1,9/20/2017,263,9,2017,38,9,4,Fall
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,WF/Drought,3/1/2017,2017,3,1,12/31/2017,2017,12,31,3150,0,304,44,11,7/31/2017,212,7,2017,31,7,3,Summer
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,WF/Drought,6/1/2017,2017,6,1,12/31/2017,2017,12,31,22506.3,54,212,31,8,9/15/2017,258,9,2017,37,9,4,Fall
Central and Eastern Winter Storm (January 2018),Winter Storm,Winter/Freeze,1/3/2018,2018,1,3,1/5/2018,2018,1,5,1293.4,22,1,1,1,1/4/2018,4,1,2018,1,1,1,Winter
Northeast Winter Storm (March 2018),Winter Storm,Winter/Freeze,3/1/2018,2018,3,1,3/3/2018,2018,3,3,2698.7,9,1,1,1,3/2/2018,61,3,2018,9,3,2,Spring
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,SevStorm/Flood,3/18/2018,2018,3,18,3/21/2018,2018,3,21,1786.1,0,2,1,1,3/19/2018,78,3,2018,12,3,2,Spring
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,SevStorm/Flood,4/13/2018,2018,4,13,4/16/2018,2018,4,16,1621.4,3,2,1,1,4/14/2018,104,4,2018,15,4,2,Spring
Central and Northeast Severe Weather (May 2018),Severe Storm,SevStorm/Flood,5/1/2018,2018,5,1,5/4/2018,2018,5,4,1710,0,2,1,1,5/2/2018,122,5,2018,18,5,2,Spring
Central and Eastern Severe Weather (May 2018),Severe Storm,SevStorm/Flood,5/13/2018,2018,5,13,5/15/2018,2018,5,15,1685.1,5,1,1,1,5/14/2018,134,5,2018,20,5,2,Spring
Texas Hail Storm (June 2018),Severe Storm,SevStorm/Flood,6/6/2018,2018,6,6,6/6/2018,2018,6,6,1586,0,-1,0,0,6/6/2018,157,6,2018,23,6,3,Summer
Colorado Hail Storm (June 2018a),Severe Storm,SevStorm/Flood,6/13/2018,2018,6,13,6/13/2018,2018,6,13,1165.1,0,-1,0,0,6/13/2018,164,6,2018,24,6,3,Summer
Colorado Hail Storm (June 2018b),Severe Storm,SevStorm/Flood,6/18/2018,2018,6,18,6/19/2018,2018,6,19,2712.1,0,0,0,0,6/18/2018,169,6,2018,25,6,3,Summer
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,SevStorm/Flood,7/19/2018,2018,7,19,7/22/2018,2018,7,22,1933.7,0,2,1,1,7/20/2018,201,7,2018,29,7,3,Summer
Mountain West Severe Weather (July 2018),Severe Storm,SevStorm/Flood,7/26/2018,2018,7,26,7/29/2018,2018,7,29,1038.2,0,2,1,1,7/27/2018,208,7,2018,30,7,3,Summer
Rockies and Plains Hail Storms (August 2018),Severe Storm,SevStorm/Flood,8/6/2018,2018,8,6,8/7/2018,2018,8,7,1250.5,0,0,0,0,8/6/2018,218,8,2018,32,8,3,Summer
Hurricane Florence (September 2018),Tropical Cyclone,Tropical Cyclone,9/13/2018,2018,9,13,9/16/2018,2018,9,16,29280,53,2,1,1,9/14/2018,257,9,2018,37,9,4,Fall
Hurricane Michael (October 2018),Tropical Cyclone,Tropical Cyclone,10/10/2018,2018,10,10,10/11/2018,2018,10,11,30219.8,49,0,0,0,10/10/2018,283,10,2018,41,10,4,Fall
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,WF/Drought,6/1/2018,2018,6,1,12/30/2018,2018,12,30,3707.6,0,211,31,8,9/15/2018,258,9,2018,37,9,4,Fall
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,WF/Drought,6/1/2018,2018,6,1,12/31/2018,2018,12,31,29280,106,212,31,8,9/15/2018,258,9,2018,37,9,4,Fall
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,SevStorm/Flood,2/23/2019,2019,2,23,2/25/2019,2019,2,25,1497.4,2,1,1,1,2/24/2019,55,2,2019,8,2,1,Winter
Texas Hail Storm (March 2019),Severe Storm,SevStorm/Flood,3/22/2019,2019,3,22,3/24/2019,2019,3,24,1857.4,0,1,1,1,3/23/2019,82,3,2019,12,3,2,Spring
Missouri River and North Central Flooding (March 2019),Flooding,SevStorm/Flood,3/14/2019,2019,3,14,3/31/2019,2019,3,31,13087,3,16,3,1,3/22/2019,81,3,2019,12,3,2,Spring
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,SevStorm/Flood,4/13/2019,2019,4,13,4/14/2019,2019,4,14,1502.4,7,0,0,0,4/13/2019,103,4,2019,15,4,2,Spring
South and Southeast Severe Weather (May 2019),Severe Storm,SevStorm/Flood,5/7/2019,2019,5,7,5/13/2019,2019,5,13,1816.8,0,5,1,1,5/10/2019,130,5,2019,19,5,2,Spring
Central Severe Weather (May 2019),Severe Storm,SevStorm/Flood,5/16/2019,2019,5,16,5/18/2019,2019,5,18,1167.6,0,1,1,1,5/17/2019,137,5,2019,20,5,2,Spring
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,SevStorm/Flood,5/26/2019,2019,5,26,5/29/2019,2019,5,29,5517.6,3,2,1,1,5/27/2019,147,5,2019,21,5,2,Spring
Arkansas River Flooding (June 2019),Flooding,SevStorm/Flood,5/20/2019,2019,5,20,6/14/2019,2019,6,14,3630,5,24,4,1,6/1/2019,152,6,2019,22,6,3,Summer
Colorado Hail Storms (July 2019),Severe Storm,SevStorm/Flood,7/4/2019,2019,7,4,7/5/2019,2019,7,5,1209.6,0,0,0,0,7/4/2019,185,7,2019,27,7,3,Summer
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,SevStorm/Flood,3/15/2019,2019,3,15,7/31/2019,2019,7,31,7464.7,4,137,20,5,5/23/2019,143,5,2019,21,5,2,Spring
Hurricane Dorian (September 2019),Tropical Cyclone,Tropical Cyclone,8/28/2019,2019,8,28,9/6/2019,2019,9,6,1932,10,8,2,1,9/1/2019,244,9,2019,35,9,4,Fall
Tropical Storm Imelda (September 2019),Tropical Cyclone,Tropical Cyclone,9/17/2019,2019,9,17,9/21/2019,2019,9,21,6000,5,3,1,1,9/19/2019,262,9,2019,38,9,4,Fall
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,SevStorm/Flood,10/20/2019,2019,10,20,10/20/2019,2019,10,20,2044.4,2,-1,0,0,10/20/2019,293,10,2019,42,10,4,Fall
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,WF/Drought,6/1/2019,2019,6,1,11/30/2019,2019,11,30,5400,3,181,26,7,8/31/2019,243,8,2019,35,8,3,Summer
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,SevStorm/Flood,1/10/2020,2020,1,10,1/12/2020,2020,1,12,1367.6,10,1,1,1,1/11/2020,11,1,2020,2,1,1,Winter
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,SevStorm/Flood,2/5/2020,2020,2,5,2/7/2020,2020,2,7,1495,3,1,1,1,2/6/2020,37,2,2020,6,2,1,Winter
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,SevStorm/Flood,3/2/2020,2020,3,2,3/4/2020,2020,3,4,2779.9,25,1,1,1,3/3/2020,63,3,2020,9,3,2,Spring
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,SevStorm/Flood,3/27/2020,2020,3,27,3/28/2020,2020,3,28,3044.3,0,0,0,0,3/27/2020,87,3,2020,13,3,2,Spring
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,SevStorm/Flood,4/7/2020,2020,4,7,4/8/2020,2020,4,8,3457.2,0,0,0,0,4/7/2020,98,4,2020,14,4,2,Spring
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,SevStorm/Flood,4/12/2020,2020,4,12,4/13/2020,2020,4,13,4132.8,35,0,0,0,4/12/2020,103,4,2020,15,4,2,Spring
Southern Severe Weather (April 2020),Severe Storm,SevStorm/Flood,4/21/2020,2020,4,21,4/23/2020,2020,4,23,1620,3,1,1,1,4/22/2020,113,4,2020,17,4,2,Spring
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,SevStorm/Flood,4/27/2020,2020,4,27,4/30/2020,2020,4,30,1232.4,1,2,1,1,4/28/2020,119,4,2020,17,4,2,Spring
Central and Eastern Severe Weather (May 2020),Severe Storm,SevStorm/Flood,5/3/2020,2020,5,3,5/5/2020,2020,5,5,2535.6,2,1,1,1,5/4/2020,125,5,2020,18,5,2,Spring
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,SevStorm/Flood,5/20/2020,2020,5,20,5/23/2020,2020,5,23,1900.8,2,2,1,1,5/21/2020,142,5,2020,21,5,2,Spring
South Texas Hail Storms (May 2020),Severe Storm,SevStorm/Flood,5/27/2020,2020,5,27,5/27/2020,2020,5,27,1680,0,-1,0,0,5/27/2020,148,5,2020,22,5,2,Spring
Central Severe Weather (July 2020),Severe Storm,SevStorm/Flood,7/10/2020,2020,7,10,7/11/2020,2020,7,11,1423.4,0,0,0,0,7/10/2020,192,7,2020,28,7,3,Summer
Hurricane Hanna (July 2020),Tropical Cyclone,Tropical Cyclone,7/25/2020,2020,7,25,7/26/2020,2020,7,26,1268.5,0,0,0,0,7/25/2020,207,7,2020,30,7,3,Summer
Hurricane Isaias (August 2020),Tropical Cyclone,Tropical Cyclone,8/3/2020,2020,8,3,8/4/2020,2020,8,4,5613.1,16,0,0,0,8/3/2020,216,8,2020,31,8,3,Summer
Central Severe Weather - Derecho (August 2020),Severe Storm,SevStorm/Flood,8/10/2020,2020,8,10,8/10/2020,2020,8,10,13122.2,4,-1,0,0,8/10/2020,223,8,2020,32,8,3,Summer
Hurricane Laura (August 2020),Tropical Cyclone,Tropical Cyclone,8/27/2020,2020,8,27,8/28/2020,2020,8,28,27393.7,42,0,0,0,8/27/2020,240,8,2020,35,8,3,Summer
Hurricane Sally (September 2020),Tropical Cyclone,Tropical Cyclone,9/15/2020,2020,9,15,9/17/2020,2020,9,17,8583.2,5,1,1,1,9/16/2020,260,9,2020,38,9,4,Fall
Hurricane Delta (October 2020),Tropical Cyclone,Tropical Cyclone,10/9/2020,2020,10,9,10/11/2020,2020,10,11,3383.1,5,1,1,1,10/10/2020,284,10,2020,41,10,4,Fall
Hurricane Zeta (October 2020),Tropical Cyclone,Tropical Cyclone,10/28/2020,2020,10,28,10/29/2020,2020,10,29,5135.3,6,0,0,0,10/28/2020,302,10,2020,44,10,4,Fall
Tropical Storm Eta (November 2020),Tropical Cyclone,Tropical Cyclone,11/8/2020,2020,11,8,11/12/2020,2020,11,12,1722.8,12,3,1,1,11/10/2020,315,11,2020,45,11,4,Fall
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,WF/Drought,6/1/2020,2020,6,1,12/30/2020,2020,12,30,5304.1,45,211,31,8,9/15/2020,259,9,2020,37,9,4,Fall
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,WF/Drought,8/1/2020,2020,8,1,12/30/2020,2020,12,30,19411,46,150,22,5,10/15/2020,289,10,2020,42,10,4,Fall
California Flooding and Severe Weather (January 2021),Flooding,SevStorm/Flood,1/24/2021,2021,1,24,1/29/2021,2021,1,29,1281.2,2,4,1,1,1/26/2021,26,1,2021,4,1,1,Winter
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,Winter/Freeze,2/10/2021,2021,2,10,2/19/2021,2021,2,19,26543,262,8,2,1,2/14/2021,45,2,2021,7,2,1,Winter
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,SevStorm/Flood,3/24/2021,2021,3,24,3/25/2021,2021,3,25,1945.4,6,0,0,0,3/24/2021,83,3,2021,12,3,2,Spring
Eastern Severe Weather (March 2021),Severe Storm,SevStorm/Flood,3/27/2021,2021,3,27,3/28/2021,2021,3,28,1561.5,8,0,0,0,3/27/2021,86,3,2021,13,3,2,Spring
Texas Hail Storms (April 2021),Severe Storm,SevStorm/Flood,4/12/2021,2021,4,12,4/15/2021,2021,4,15,1711,0,2,1,1,4/13/2021,103,4,2021,15,4,2,Spring
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,SevStorm/Flood,4/27/2021,2021,4,27,4/28/2021,2021,4,28,3652.8,0,0,0,0,4/27/2021,117,4,2021,17,4,2,Spring
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,SevStorm/Flood,5/2/2021,2021,5,2,5/4/2021,2021,5,4,1441,4,1,1,1,5/3/2021,123,5,2021,18,5,2,Spring
Louisiana Flooding (May 2021),Flooding,SevStorm/Flood,5/17/2021,2021,5,17,5/18/2021,2021,5,18,1530.1,5,0,0,0,5/17/2021,137,5,2021,20,5,2,Spring
Ohio Valley Hail Storms (June 2021),Severe Storm,SevStorm/Flood,6/17/2021,2021,6,17,6/18/2021,2021,6,18,1929.2,0,0,0,0,6/17/2021,168,6,2021,24,6,3,Summer
Central Severe Storms (June 2021),Severe Storm,SevStorm/Flood,6/24/2021,2021,6,24,6/26/2021,2021,6,26,1416,0,1,1,1,6/25/2021,176,6,2021,26,6,3,Summer
Tropical Storm Elsa (July 2021),Tropical Cyclone,Tropical Cyclone,7/7/2021,2021,7,7,7/9/2021,2021,7,9,1358.6,1,1,1,1,7/8/2021,189,7,2021,27,7,3,Summer
Central Severe Storms (July 2021),Severe Storm,SevStorm/Flood,7/8/2021,2021,7,8,7/11/2021,2021,7,11,1209.6,0,2,1,1,7/9/2021,190,7,2021,28,7,3,Summer
North Central Severe Weather (August 2021),Severe Storm,SevStorm/Flood,8/10/2021,2021,8,10,8/13/2021,2021,8,13,1438.1,2,2,1,1,8/11/2021,223,8,2021,32,8,3,Summer
Tropical Storm Fred (August 2021),Tropical Cyclone,Tropical Cyclone,8/16/2021,2021,8,16,8/18/2021,2021,8,18,1430.2,7,1,1,1,8/17/2021,229,8,2021,33,8,3,Summer
Hurricane Ida (August 2021),Tropical Cyclone,Tropical Cyclone,8/29/2021,2021,8,29,9/1/2021,2021,9,1,82400.7,96,2,1,1,8/30/2021,242,8,2021,35,8,3,Summer
Hurricane Nicholas (September 2021),Tropical Cyclone,Tropical Cyclone,9/14/2021,2021,9,14,9/18/2021,2021,9,18,1137.9,0,3,1,1,9/16/2021,259,9,2021,37,9,4,Fall
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,SevStorm/Flood,12/10/2021,2021,12,10,12/10/2021,2021,12,10,4306.5,93,-1,0,0,12/10/2021,-21,0,2022,-3,0,1,Winter
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,SevStorm/Flood,12/15/2021,2021,12,15,12/15/2021,2021,12,15,1960.2,1,-1,0,0,12/15/2021,-16,0,2022,-2,0,1,Winter
Western Wildfires (2021),Wildfire,WF/Drought,6/1/2021,2021,6,1,12/31/2021,2021,12,31,11752.1,8,212,31,8,9/15/2021,258,9,2021,37,9,4,Fall
Western Drought and Heat Wave (2021),Drought,WF/Drought,1/1/2021,2021,1,1,12/31/2021,2021,12,31,9864.5,229,363,52,13,7/2/2021,183,7,2021,27,7,3,Summer
Texas Hail Storms (February 2022),Severe Storm,SevStorm/Flood,2/21/2022,2022,2,21,2/22/2022,2022,2,22,1088.6,0,0,0,0,2/21/2022,52,2,2022,8,2,1,Winter
Southern Tornado Outbreak (March 2022),Severe Storm,SevStorm/Flood,3/30/2022,2022,3,30,3/30/2022,2022,3,30,1344.1,2,-1,0,0,3/30/2022,89,3,2022,13,3,2,Spring
Southeast Tornado Outbreak (April 2022),Severe Storm,SevStorm/Flood,4/4/2022,2022,4,4,4/6/2022,2022,4,6,1501.9,3,1,1,1,4/5/2022,95,4,2022,14,4,2,Spring
Southern Severe Weather (April 2022),Severe Storm,SevStorm/Flood,4/11/2022,2022,4,11,4/13/2022,2022,4,13,2835.5,1,1,1,1,4/12/2022,102,4,2022,15,4,2,Spring
Southern and Central Severe Weather (May 2022),Severe Storm,SevStorm/Flood,5/1/2022,2022,5,1,5/3/2022,2022,5,3,1196.1,1,1,1,1,5/2/2022,122,5,2022,18,5,2,Spring
North Central Hail Storms (May 2022a),Severe Storm,SevStorm/Flood,5/9/2022,2022,5,9,5/9/2022,2022,5,9,2289.6,0,-1,0,0,5/9/2022,129,5,2022,19,5,2,Spring
North Central Severe Weather (May 2022),Severe Storm,SevStorm/Flood,5/11/2022,2022,5,11,5/12/2022,2022,5,12,2868.3,1,0,0,0,5/11/2022,131,5,2022,19,5,2,Spring
North Central Hail Storms (May 2022b),Severe Storm,SevStorm/Flood,5/19/2022,2022,5,19,5/19/2022,2022,5,19,2552.8,0,-1,0,0,5/19/2022,139,5,2022,20,5,2,Spring
Central Severe Weather (June 2022),Severe Storm,SevStorm/Flood,6/7/2022,2022,6,7,6/8/2022,2022,6,8,1987.4,0,0,0,0,6/7/2022,158,6,2022,23,6,3,Summer
Central Derecho (June 2022),Severe Storm,SevStorm/Flood,6/13/2022,2022,6,13,6/13/2022,2022,6,13,3322.9,1,-1,0,0,6/13/2022,164,6,2022,24,6,3,Summer
North Central and Eastern Severe Weather (July 2022),Severe Storm,SevStorm/Flood,7/22/2022,2022,7,22,7/24/2022,2022,7,24,1393.6,1,1,1,1,7/23/2022,204,7,2022,30,7,3,Summer
Kentucky and Missouri Flooding (July 2022),Flooding,SevStorm/Flood,7/26/2022,2022,7,26,7/28/2022,2022,7,28,1523.6,42,1,1,1,7/27/2022,208,7,2022,30,7,3,Summer
Hurricane Fiona (September 2022),Tropical Cyclone,Tropical Cyclone,9/17/2022,2022,9,17,9/18/2022,2022,9,18,2610.4,25,0,0,0,9/17/2022,260,9,2022,38,9,4,Fall
Hurricane Ian (September 2022),Tropical Cyclone,Tropical Cyclone,9/28/2022,2022,9,28,9/30/2022,2022,9,30,116272,152,1,1,1,9/29/2022,272,9,2022,39,9,4,Fall
Hurricane Nicole (November 2022),Tropical Cyclone,Tropical Cyclone,11/10/2022,2022,11,10,11/11/2022,2022,11,11,1050.6,5,0,0,0,11/10/2022,314,11,2022,45,11,4,Fall
Western Wildfires (Spring-Fall 2022),Wildfire,WF/Drought,4/1/2022,2022,4,1,11/30/2022,2022,11,30,3234.4,17,242,35,9,7/31/2022,212,7,2022,31,7,3,Summer
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,Winter/Freeze,12/21/2022,2022,12,21,12/26/2022,2022,12,26,8698.6,87,4,1,1,12/23/2022,-8,0,2023,-1,0,1,Winter
Western/Central Drought and Heat Wave (2022),Drought,WF/Drought,1/1/2022,2022,1,1,12/31/2022,2022,12,31,22852,136,363,52,13,7/2/2022,183,7,2022,27,7,3,Summer
Northeastern Winter Storm / Cold Wave (February 2023),Winter Storm,Winter/Freeze,2/2/2023,2023,2,2,2/5/2023,2023,2,5,1786.1,1,2,1,1,2/3/2023,34,2,2023,5,2,1,Winter
Southern and Eastern Severe Weather (March 2023),Severe Storm,SevStorm/Flood,3/2/2023,2023,3,2,3/3/2023,2023,3,3,5993.5,13,0,0,0,3/2/2023,61,3,2023,9,3,2,Spring
California Flooding (December 2022 - March 2023),Flooding,SevStorm/Flood,12/26/2022,2022,12,26,3/19/2023,2023,3,19,4635,22,82,12,3,2/5/2023,36,2,2023,6,2,1,Winter
Southern and Eastern Severe Weather (April 2023),Severe Storm,SevStorm/Flood,3/24/2023,2023,3,24,3/26/2023,2023,3,26,2871.2,23,1,1,1,3/25/2023,84,3,2023,12,3,2,Spring
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,SevStorm/Flood,3/31/2023,2023,3,31,4/1/2023,2023,4,1,5740.4,33,0,0,0,3/31/2023,90,3,2023,13,3,2,Spring
Central and Eastern Severe Weather (April 2023),Severe Storm,SevStorm/Flood,4/4/2023,2023,4,4,4/6/2023,2023,4,6,2871.5,5,1,1,1,4/5/2023,95,4,2023,14,4,2,Spring
Fort Lauderdale Flash Flood (April 2023),Flooding,SevStorm/Flood,4/12/2023,2023,4,12,4/13/2023,2023,4,13,1111,0,0,0,0,4/12/2023,102,4,2023,15,4,2,Spring
Central and Southern Severe Weather (April 2023),Severe Storm,SevStorm/Flood,4/15/2023,2023,4,15,4/15/2023,2023,4,15,1361.7,0,-1,0,0,4/15/2023,105,4,2023,15,4,2,Spring
Central Severe Weather (April 2023),Severe Storm,SevStorm/Flood,4/19/2023,2023,4,19,4/20/2023,2023,4,20,3019.2,1,0,0,0,4/19/2023,109,4,2023,16,4,2,Spring
Southern Severe Weather (April 2023),Severe Storm,SevStorm/Flood,4/25/2023,2023,4,25,4/27/2023,2023,4,27,1333.3,0,1,1,1,4/26/2023,116,4,2023,17,4,2,Spring
Central Severe Weather (May 2023),Severe Storm,SevStorm/Flood,5/6/2023,2023,5,6,5/8/2023,2023,5,8,2158.6,1,1,1,1,5/7/2023,127,5,2023,19,5,2,Spring
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,SevStorm/Flood,5/10/2023,2023,5,10,5/12/2023,2023,5,12,3460.4,1,1,1,1,5/11/2023,131,5,2023,19,5,2,Spring
Texas Hail Storms (May 2023),Severe Storm,SevStorm/Flood,5/18/2023,2023,5,18,5/19/2023,2023,5,19,1641.3,0,0,0,0,5/18/2023,138,5,2023,20,5,2,Spring
Typhoon Mawar (May 2023),Tropical Cyclone,Tropical Cyclone,5/24/2023,2023,5,24,5/25/2023,2023,5,25,4292.5,2,0,0,0,5/24/2023,144,5,2023,21,5,2,Spring
Southern Severe Weather (June 2023),Severe Storm,SevStorm/Flood,6/11/2023,2023,6,11,6/14/2023,2023,6,14,4072.6,0,2,1,1,6/12/2023,163,6,2023,24,6,3,Summer
Central and Southern Severe Weather (June 2023),Severe Storm,SevStorm/Flood,6/15/2023,2023,6,15,6/18/2023,2023,6,18,3805.8,5,2,1,1,6/16/2023,167,6,2023,24,6,3,Summer
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,SevStorm/Flood,6/21/2023,2023,6,21,6/26/2023,2023,6,26,5296.5,8,4,1,1,6/23/2023,174,6,2023,25,6,3,Summer
Central Severe Weather (June 2023),Severe Storm,SevStorm/Flood,6/28/2023,2023,6,28,7/2/2023,2023,7,2,1938.4,3,3,1,1,6/30/2023,181,6,2023,26,6,3,Summer
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,SevStorm/Flood,7/9/2023,2023,7,9,7/15/2023,2023,7,15,2187.1,10,5,1,1,7/12/2023,193,7,2023,28,7,3,Summer
North Central and Southeastern Severe Weather (July 2023),Severe Storm,SevStorm/Flood,7/19/2023,2023,7,19,7/21/2023,2023,7,21,1850.3,1,1,1,1,7/20/2023,201,7,2023,29,7,3,Summer
North Central and Eastern Severe Weather (July 2023),Severe Storm,SevStorm/Flood,7/28/2023,2023,7,28,7/29/2023,2023,7,29,1496.8,2,0,0,0,7/28/2023,209,7,2023,30,7,3,Summer
Hawaii Firestorm (August 2023),Wildfire,WF/Drought,8/8/2023,2023,8,8,8/8/2023,2023,8,8,5555,100,-1,0,0,8/8/2023,220,8,2023,32,8,3,Summer
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,SevStorm/Flood,8/5/2023,2023,8,5,8/8/2023,2023,8,8,1647.6,4,2,1,1,8/6/2023,218,8,2023,32,8,3,Summer
Minnesota Hail Storms (August 2023),Severe Storm,SevStorm/Flood,8/11/2023,2023,8,11,8/11/2023,2023,8,11,1792.8,0,-1,0,0,8/11/2023,223,8,2023,32,8,3,Summer
Hurricane Idalia (August 2023),Tropical Cyclone,Tropical Cyclone,8/29/2023,2023,8,29,8/31/2023,2023,8,31,3490.6,5,1,1,1,8/30/2023,242,8,2023,35,8,3,Summer
Southern Hail Storms (September 2023),Severe Storm,SevStorm/Flood,9/23/2023,2023,9,23,9/24/2023,2023,9,24,1645,0,0,0,0,9/23/2023,266,9,2023,38,9,4,Fall
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,WF/Drought,4/1/2023,2023,4,1,9/30/2023,2023,9,30,14517,247,181,26,7,7/1/2023,182,7,2023,26,7,3,Summer
East Coast Storm and Flooding (December 2023),Flooding,SevStorm/Flood,12/16/2023,2023,12,16,12/18/2023,2023,12,18,1276,5,1,1,1,12/17/2023,-14,0,2024,-2,0,1,Winter
